source_pdf,output_pdf,output_txt,before_chars,after_chars,delta_chars,success
pensum/Guide to health informatics - Selected - Ch27.pdf,pensum/ocr/Guide to health informatics - Selected - Ch27__ocr.pdf,pensum/ocr/Guide to health informatics - Selected - Ch27__ocr.txt,0,23873,23873,yes
pensum/Guide to health informatics - Selected - Ch9 and 27.pdf,pensum/ocr/Guide to health informatics - Selected - Ch9 and 27__ocr.pdf,pensum/ocr/Guide to health informatics - Selected - Ch9 and 27__ocr.txt,0,50357,50357,yes
